응답자ID,답변 ID,시작일시,종료일시,D1,점포,고객기대수준,낮은 기대수준 이유,과거 부정적 쇼핑 요소,고객인지품질,고객인지가치,직원 서비스,정보 제공,상품 준비,신속 결제,매장 환경,인도 만족도,인도 불만족 이유,실 대기시간,적정 대기시간,불만 제기 유무,불만 항목,불만 처리 과정 만족도,재이용의향률,제공받고 싶은 서비스,추가 의견
38.0,198-45-33007,2024-04-01 03:10:12,2024-04-01 03:12:55,0124032002300002,부산점,7.0,,,6.0,6.0,4.0,5.0,4.0,4.0,7.0,6.0,,,,불만을 제기한 경험이 없다.,,,예.,명품의류가 다양했으면 좋겠습니다,"부산점 담배와 주류판매하는 곳의 직원이 불친절하고, 상세한 응대가 부족하여 아쉬워요"
39.0,585-18-48256,2024-04-01 14:08:59,2024-04-01 14:10:31,0524031514000006,명동점,5.0,,,5.0,6.0,4.0,4.0,3.0,5.0,5.0,5.0,,,,불만이 있었지만 제기하지 않았다.,상품 품절 및 다양성 부족,,예.,,품절인 상품이 너무 많았어요
40.0,614-12-45600,2024-04-01 14:19:38,2024-04-01 14:20:19,0524032317900011,명동점,6.0,,,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,,,,불만을 제기한 경험이 없다.,,,예.,,
41.0,917-96-81540,2024-04-01 14:21:35,2024-04-01 14:24:21,0524032225600018,인천공항점,4.0,과거 부정적 쇼핑 경험,직원 불친절,4.0,6.0,2.0,2.0,3.0,1.0,2.0,,,,,불만이 있었지만 제기하지 않았다.,"직원 불친절, 인도 과정 불만 ",,예.,지금처럼만!,"신세계면세점은 타 면세점에 비해 할인혜택이 많은 편인데, 직원이 그것들을 양지하지못하고있는거같다. 최근에 인천공항점에서 팩을 하나 구매했는데 유니버스 사용되냐 물어봤으나, 여권찍어봐야안다고 하여 여권을 드렸는데 가지고있는 면세포인트로 일제히 결제를 끝내버렸다. 유니버스가 뭔지도 모르는건지 적용이 되는지 안되는지 말을 해주지도않고 말이다.  지금도 좋은서비스 많이 이용하고 있지만, 직원들이 잘모르고있어 이용할때 불편하다."
42.0,518-85-43376,2024-04-01 14:30:29,2024-04-01 14:31:19,1424032515900009,인천공항점,7.0,,,2.0,2.0,2.0,2.0,1.0,4.0,4.0,,,,,불만을 제기한 경험이 없다.,,,아니오.,,
43.0,575-60-95396,2024-04-01 14:32:26,2024-04-01 14:33:18,1424032516300437,인천공항점,5.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,불만을 제기한 경험이 없다.,,,예.,,
44.0,509-20-28896,2024-04-01 14:43:28,2024-04-01 14:46:44,0524032107500001,명동점,5.0,,,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,,,,불만을 제기한 경험이 없다.,,,예.,,
45.0,291-50-09486,2024-04-01 14:48:01,2024-04-01 14:49:26,0124031618300002,명동점,4.0,타 면세점이 익숙함,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,,
46.0,241-88-49573,2024-04-01 15:31:39,2024-04-01 15:38:19,0124031402200001,부산점,7.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,구매자 대상으로 커피 ☕️ 한잔 좋을듯 합니다 쇼핑이 은근 피곤하거든요^^,
47.0,483-48-43658,2024-04-01 15:56:30,2024-04-01 16:05:22,0124031712900001,부산점,6.0,,,4.0,6.0,7.0,7.0,4.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,상품의 다양화,빈 매장없이 빨리 활성화되길 원합니다
